customer_id,customer_name,email,signup_date,acquisition_channel,country
1,Christopher Shaw,watsonerica@example.com,2025-10-16,organic,Ukraine
2,Jaclyn Haas,jonesbailey@example.org,2024-04-24,direct,Rwanda
3,Terri Davis,townsenddonna@example.org,2024-01-26,social,Libyan Arab Jamahiriya
4,Mindy Rhodes,icox@example.com,2024-10-08,email,Martinique
5,Olivia Lee,valerie13@example.com,2024-09-07,paid_search,Mozambique
6,Philip Hernandez,myoder@example.com,2024-08-16,paid_search,Latvia
7,Jeremy Ramsey,weissjames@example.org,2024-05-22,paid_search,Jamaica
8,Patrick Daniels,jonestimothy@example.com,2024-04-14,referral,Brunei Darussalam
9,Jessica Camacho,hollandcaitlin@example.com,2025-11-23,social,Benin
10,Curtis Boyd,pchen@example.net,2025-07-12,social,Honduras
11,Michael Johnson,diana82@example.net,2024-03-30,paid_search,Turks and Caicos Islands
12,Robert Roberts,youngsteven@example.com,2025-08-27,direct,Kiribati
13,David Lara,ephelps@example.net,2025-03-08,referral,Brunei Darussalam
14,Luis Bates,blackburndarren@example.com,2024-02-02,paid_search,Falkland Islands (Malvinas)
15,Rachel Bryant,wstrickland@example.net,2024-01-31,,Jordan
16,Laurie Herrera,johncampbell@example.org,2024-04-05,paid_search,Senegal
17,Sheila Gray,julieprince@example.net,2024-08-11,organic,Kiribati
18,Jillian Brewer,wbrown@example.com,2024-08-26,email,Svalbard & Jan Mayen Islands
19,Jessica Brown,fwhite@example.com,2025-06-01,organic,Congo
20,Daisy Butler,biancamoore@example.com,2025-09-08,paid_search,Bahamas
21,James Rosales,bharding@example.net,2024-01-28,social,Iraq
22,Erika Herrera,stephanie06@example.org,2025-07-28,paid_search,Chad
23,Linda Bates,kimberly71@example.org,2024-07-22,paid_search,Angola
24,Kelli Ball,kathrynschultz@example.org,2025-10-27,organic,Turks and Caicos Islands
25,James Frazier,sarawalters@example.org,2025-12-19,organic,Cambodia
26,Kenneth Murray,ramirezjason@example.net,2025-07-12,social,Saudi Arabia
27,Nicole Hill,yadams@example.com,2025-03-05,paid_search,French Polynesia
28,Tammy Wilson,bradleywalters@example.com,2024-08-13,email,Burkina Faso
29,Deborah Garcia,erobinson@example.org,2025-04-04,email,Congo
30,Julie Herrera,jennifer87@example.net,2025-08-26,paid_search,Mozambique
31,Meghan Rivera,ffleming@example.com,2024-10-11,social,Cook Islands
32,Steven Martinez,campbelljustin@example.net,2024-01-07,paid_search,Guinea
33,Tiffany Lyons,athomas@example.org,2024-06-12,paid_search,Ecuador
34,Connie Gardner,karencollins@example.org,2025-12-15,direct,Pakistan
35,Shawn Choi,fjones@example.org,2025-03-08,direct,Central African Republic
36,Lindsey Perkins,vmartin@example.com,2024-12-14,referral,Western Sahara
37,Kayla James,bryantashley@example.net,2024-10-11,organic,Kuwait
38,Andrew Olsen,ubriggs@example.net,2024-06-08,paid_search,Saudi Arabia
39,Anita Mills,cody42@example.org,2024-08-08,social,Poland
40,Justin Brown,priceemily@example.org,2024-12-10,organic,Kyrgyz Republic
41,Kenneth Erickson,dtucker@example.org,2024-04-14,paid_search,Barbados
42,Candace Smith,jason89@example.net,2024-04-04,organic,Antigua and Barbuda
43,Kent Winters,travisgordon@example.org,2025-01-24,paid_search,Bangladesh
44,James Mcclure,timothypalmer@example.com,2024-04-09,direct,France
45,Amy Gordon,charles55@example.net,2025-01-02,,Bermuda
46,John Miller,ywhite@example.com,2024-12-18,social,Bahrain
47,Jessica Hanna,handerson@example.net,2025-09-10,organic,Hong Kong
48,John Reyes,denise35@example.com,2024-09-27,email,Holy See (Vatican City State)
49,Bonnie Kelley,xschneider@example.com,2024-02-14,email,Samoa
50,Catherine Jones,john26@example.org,2025-04-15,paid_search,Macao
51,Holly Smith,xosborne@example.com,2025-07-03,direct,Mongolia
52,Eric Keller,margaret34@example.net,2024-05-07,social,Tanzania
53,Nicole Hardy,leahchan@example.net,2025-01-22,,Afghanistan
54,Adrian Russell,reedjulie@example.com,2024-03-21,referral,Cocos (Keeling) Islands
55,Dana Ballard,hgardner@example.com,2025-07-19,email,Myanmar
56,Roger Wilson,david19@example.org,2024-10-27,direct,Somalia
57,Zachary Anderson,fashley@example.com,2025-10-05,paid_search,Bhutan
58,Jordan Thomas DVM,bclark@example.net,2025-09-25,paid_search,Chile
59,Cindy Owens,reidkaren@example.net,2025-01-05,paid_search,Argentina
60,Sandra Montgomery,mendezheather@example.com,2025-08-14,organic,Guatemala
61,Amy Nunez DVM,williamskatherine@example.org,2024-07-15,organic,Afghanistan
62,Kari Lowe,garciarebecca@example.com,2025-12-22,paid_search,Panama
63,Jennifer Delgado,doughertychristina@example.com,2024-03-12,referral,Pitcairn Islands
64,Jon Cummings,hallen@example.net,2024-02-16,,Turkey
65,Anthony Jones,rbradley@example.net,2025-11-08,paid_search,Kenya
66,Marissa George,thomasnicholas@example.net,2024-08-21,email,South Georgia and the South Sandwich Islands
67,Dustin Hill,shuff@example.com,2024-10-23,paid_search,Guam
68,Justin Miller,mary51@example.org,2024-03-22,referral,Australia
69,Taylor Skinner,christian76@example.org,2024-08-26,paid_search,United States of America
70,Donald Leblanc,tanya15@example.com,2024-04-13,direct,Uganda
71,Christopher Howard,tjohnson@example.org,2025-01-24,social,Cyprus
72,Amber Allen,scottjones@example.org,2024-10-11,paid_search,Pitcairn Islands
73,Elizabeth Garrett,mckinneychristopher@example.net,2025-04-09,paid_search,Papua New Guinea
74,Kathy Jordan,ernestmonroe@example.org,2025-10-12,referral,Namibia
75,Jill Kim,trobinson@example.org,2025-01-08,social,Mayotte
76,Gilbert Elliott,jennifercruz@example.net,2024-06-15,social,Iran
77,Ryan Hall,kenneth71@example.com,2025-01-14,social,Saint Martin
78,Joseph Schultz,qmartinez@example.net,2024-12-29,paid_search,United Kingdom
79,Michelle Taylor,nanderson@example.org,2024-08-02,organic,Mali
80,Dr. Timothy Elliott,wagnerapril@example.net,2025-11-17,paid_search,Qatar
81,William Gordon,johnsonbenjamin@example.net,2024-09-30,referral,Ukraine
82,Autumn Luna,john98@example.com,2025-12-19,social,Seychelles
83,Kenneth Gaines,zhawkins@example.com,2025-11-30,organic,Algeria
84,Sarah Clark,wlewis@example.org,2025-10-25,paid_search,Guatemala
85,Edward Henderson,cherylgilbert@example.net,2024-03-14,organic,Saint Barthelemy
86,Brad Harrison,jamesyork@example.com,2025-09-15,organic,Yemen
87,Maria Quinn,bryanbeth@example.org,2025-10-12,social,Aruba
88,Mary Rose,michael72@example.com,2024-06-24,social,Uzbekistan
89,Jacqueline Randall,hamiltonjeffrey@example.net,2025-06-30,referral,Cape Verde
90,Chelsea Jenkins,heather04@example.org,2024-09-07,organic,Finland
91,Brittney Rivers,taylor58@example.net,2024-06-16,paid_search,Bahrain
92,Desiree Castillo,david61@example.org,2025-04-18,social,Wallis and Futuna
93,Stacey Burgess,dolson@example.com,2025-01-23,social,Holy See (Vatican City State)
94,Daniel Chase,bradfordamber@example.net,2024-10-03,email,Sudan
95,Andrew Schultz,arthur77@example.org,2025-10-17,social,South Africa
96,Kathleen Lang,williamsisaac@example.org,2025-12-05,organic,Kiribati
97,Susan Murray,newtonmaria@example.net,2025-07-24,email,Madagascar
98,Tanya Haas DVM,wellslisa@example.org,2024-08-12,organic,Montenegro
99,Angela Castaneda,christineglenn@example.net,2025-12-02,paid_search,United States of America
100,Nicholas Garrison,johnstonmark@example.net,2024-11-28,paid_search,Tonga
101,Rodney Ritter,sabrina18@example.com,2024-02-27,paid_search,Puerto Rico
